"year","code","eca","lac","ssa","lmc","umc","hic","inc","gdp2021","gdp2017","rps","leb","u5m"
1981,"ISL",1,0,0,0,0,1,1,34327.5039943377,29703.2076833625,11.467,76.192,7.719
1981,"ISR",0,0,0,0,0,1,1,21703.6308961432,19908.2452259702,11.06,74.195,18.136
1981,"ITA",1,0,0,0,0,1,1,35186.9630742234,29971.0980602618,33.163,74.439,15.815
1981,"JAM",0,1,0,1,0,0,0,7703.59101209731,7592.12126368136,52.714,69.12,36.566
1981,"JOR",0,0,0,1,0,0,0,9316.61102897142,9242.50010058311,38.536,66.92,52.844
1981,"JPN",0,0,0,0,0,1,1,25072.4859014501,23225.4541176056,23.727,76.563,9.454
1981,"KAZ",1,0,0,1,0,0,0,NA,NA,45.418,62.996,67.847
1981,"KEN",0,0,1,0,0,0,0,4034.41459337811,3477.0450446743,84.319,59.562,106.082
1981,"KGZ",1,0,0,1,0,0,0,NA,NA,61.423,61.85,95.268
1981,"KHM",0,0,0,0,0,0,0,2145.97580970779,1924.22845352833,87.258,48.035,156.455
1981,"KIR",0,0,0,1,0,0,0,2578.82496963679,2332.80325559838,67.468,57.525,116.41
1981,"KNA",0,1,0,0,1,0,0,8201.50055898365,8100.09735552128,64.246,64.62,47.192
1981,"KOR",0,0,0,0,1,0,0,6521.02503179161,5944.71311944512,41.593,67.141,33.658
1981,"KWT",0,0,0,0,0,1,1,55455.2698733901,49388.4702930347,4.33,71.522,32.54
1981,"LAO",0,0,0,0,0,0,0,NA,NA,87.35,49.237,198.943
1981,"LBN",0,0,0,1,0,0,0,NA,NA,25.101,60.279,72.05
1981,"LBR",0,0,1,0,0,0,0,3831.4441957017,5660.74978649077,63.837,44.344,243.694
1981,"LBY",0,0,0,0,1,0,0,40598.2787314746,47447.0112214157,28.549,65.255,67.283
1981,"LCA",0,1,0,1,0,0,0,10088.0559600777,7257.41814818399,73.188,68.688,30.096
1981,"LIE",1,0,0,0,0,1,1,NA,NA,81.813,74.948,18.704
1981,"LKA",0,0,0,0,0,0,0,3523.17354272014,3290.58840478873,81.324,68.38,42.823
1981,"LSO",0,0,1,0,0,0,0,1234.1324993742,1105.06716416922,88.49,57.307,117.603
